City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Huarmey,-10.0681,-78.1522,71.31,75,39,10.31,PE,1619991176
Two Rivers,44.1539,-87.5693,71.01,76,75,8.05,US,1619991454
Priyutnoye,46.1011,43.5072,61.63,68,49,8.25,RU,1619991454
Nelson Bay,-32.7167,152.15,57.99,100,75,4.61,AU,1619991455
Anshun,26.25,105.9333,62.58,95,13,11.23,CN,1619991455
Road Town,18.4167,-64.6167,82.4,69,20,9.22,VG,1619991456
Mana,5.6592,-53.7767,77.86,87,99,9.64,GF,1619991456
São João da Barra,-21.6403,-41.0511,73.4,78,75,6.91,BR,1619991651
Klaksvík,62.2266,-6.589,35.6,75,40,6.91,FO,1619991114
Chapais,49.7834,-74.8492,33.8,51,90,14.97,CA,1619991183
Sidrolândia,-20.9319,-54.9614,78.8,73,40,1.14,BR,1619991457
Stephenville,32.2207,-98.2023,82.4,44,1,9.22,US,1619991372
Turka,49.1541,23.0297,48.0,69,98,7.0,UA,1619991458
Sos'va,59.1766,61.8558,34.0,60,5,3.09,RU,1619991458
Rincon,32.296,-81.2354,78.8,61,75,14.97,US,1619991458
Langue,13.6208,-87.6525,93.2,58,20,9.22,HN,1619991459
Ust-Nera,64.5667,143.2,36.12,94,98,4.18,RU,1619991109
Verkhnyaya Inta,65.9811,60.3094,31.19,79,94,26.04,RU,1619991459
Ilulissat,69.2167,-51.1,50.0,25,0,21.85,GL,1619991460
Wenling,28.3669,121.36,60.01,70,99,1.59,CN,1619991460
Khorinsk,52.1657,109.7726,36.5,75,100,7.99,RU,1619991461
Khor,47.8861,134.9464,40.41,66,31,6.22,RU,1619991119
Constitución,-35.3333,-72.4167,55.45,97,100,4.74,CL,1619991356
San Patricio,28.017,-97.5169,87.8,70,1,14.97,US,1619991203
Broken Hill,-31.95,141.4333,53.6,66,79,5.75,AU,1619991072
Businga,3.3333,20.8833,71.51,95,92,1.45,CD,1619991251
Nago,26.5881,127.9761,66.2,82,1,8.05,JP,1619991462
Gao,16.6362,1.637,88.92,6,0,8.68,ML,1619991463
Koslan,63.4564,48.8989,28.04,55,0,7.27,RU,1619991656
Bethanien,-26.502,17.1583,66.94,26,44,9.06,NA,1619991463
Ancud,-41.8697,-73.8203,54.0,71,75,8.05,CL,1619991268
Plettenberg Bay,-34.0527,23.3716,64.78,48,0,5.17,ZA,1619991464
Viedma,-40.8135,-62.9967,66.07,33,100,9.82,AR,1619990962
Garoowe,8.4054,48.4845,78.19,70,100,10.36,SO,1619991465
Milton,34.1322,-84.3007,79.0,61,100,1.01,US,1619991465
Zhigansk,66.7697,123.3711,33.62,99,100,6.17,RU,1619991466
Luganville,-15.5333,167.1667,79.34,83,67,10.07,VU,1619991466
Erzurum Province,40.0,41.5,44.6,70,0,2.3,TR,1619991466
Mareeba,-17.0,145.4333,75.2,73,24,10.36,AU,1619991467
Outjo,-20.1167,16.15,63.19,51,83,6.51,NA,1619991467
Xifeng,42.7372,124.7222,51.33,48,82,9.13,CN,1619991468
Boyolangu,-8.1181,111.8935,74.53,90,12,1.83,ID,1619991468
Chitungwiza,-18.0127,31.0756,53.01,81,44,8.01,ZW,1619991469
Umm Kaddadah,13.6017,26.6876,84.63,17,5,10.02,SD,1619991469
Samarai,-10.6167,150.6667,80.2,81,53,7.2,PG,1619991659
Lufilufi,-13.8745,-171.5986,87.8,74,40,3.44,WS,1619991470
Lázaro Cárdenas,17.9583,-102.2,84.72,43,0,14.81,MX,1619991470
Port Blair,11.6667,92.75,83.16,77,23,6.31,IN,1619991470
Kysyl-Syr,63.8986,122.7617,33.53,99,100,2.19,RU,1619991068
Safford,32.834,-109.7076,91.4,3,1,19.57,US,1619991661
Sitka,57.0531,-135.33,44.6,70,75,5.75,US,1619991533
Narsaq,60.9167,-46.05,44.6,23,63,56.39,GL,1619991126
Karabulak,43.3036,44.8964,55.0,94,0,6.71,RU,1619991472
Edd,13.9297,41.6925,85.03,65,99,4.07,ER,1619991472
Vanimo,-2.6741,141.3028,78.82,85,97,3.67,PG,1619991473
Opuwo,-18.0607,13.84,65.21,71,21,7.38,NA,1619991089
Torrijos,39.9819,-4.2835,61.0,48,100,4.92,ES,1619991473
Āsosa,10.0667,34.5333,67.98,63,100,1.79,ET,1619991474
Lashio,22.9333,97.75,64.26,90,37,0.81,MM,1619991474
Gola Bāzār,26.3431,83.3553,83.68,35,86,8.03,IN,1619991475
Vendychany,48.6118,27.7932,61.0,84,8,11.45,UA,1619991475
Hofn,64.2539,-15.2082,35.92,64,65,9.57,IS,1619991476
Kutum,14.2,24.6667,79.27,16,2,8.72,SD,1619991293
Xai-Xai,-25.0519,33.6442,68.13,73,74,10.13,MZ,1619991476
Lorengau,-2.0226,147.2712,82.36,73,90,1.01,PG,1619991664
Olinda,-8.0089,-34.8553,75.2,78,75,5.75,BR,1619991291
Province of Mantua,45.1667,10.7833,53.01,87,40,2.3,IT,1619991106
Buhovo,42.7667,23.5667,68.0,37,0,11.5,BG,1619991478
Portland,45.5234,-122.6762,66.0,42,20,5.75,US,1619991213
East London,-33.0153,27.9116,63.68,75,0,8.08,ZA,1619991478
Alofi,-19.0595,-169.9187,77.0,88,93,11.5,NU,1619991666
San Angelo,31.4638,-100.437,95.0,21,1,17.27,US,1619991479
Launceston,-41.45,147.1667,52.0,93,40,2.73,AU,1619991391
Acaraú,-2.8856,-40.12,78.17,78,100,6.08,BR,1619991246
Nortelândia,-14.4547,-56.8028,78.17,73,52,2.44,BR,1619991480
Payakumbuh,-0.2202,100.6308,69.13,97,89,0.87,ID,1619991480
Talavera,15.6167,120.9333,77.0,78,40,2.3,PH,1619991481
San Juan,-31.5375,-68.5364,70.34,40,30,11.48,AR,1619991166
Shirokiy,49.758,129.523,47.21,48,89,3.33,RU,1619991481
Severnyy,50.677,36.5532,57.2,100,75,4.47,RU,1619991482
Makubetsu,45.3714,141.8211,36.48,94,100,17.74,JP,1619991158
Fes,34.0372,-4.9998,55.4,76,20,6.91,MA,1619991482
Nouadhibou,20.931,-17.0347,66.2,72,0,19.57,MR,1619991483
Bow Island,49.8668,-111.3684,53.01,62,99,10.36,CA,1619991483
Saint-Leu,-21.15,55.2833,73.99,83,0,4.61,RE,1619991484
Grand Gaube,-20.0064,57.6608,75.0,91,4,8.12,MU,1619991485
Shakhovskaya,56.0283,35.5097,44.55,90,100,12.19,RU,1619991485
Tubalan,6.495,125.5661,79.34,84,98,8.39,PH,1619991486
Margate,51.3813,1.3862,46.0,67,80,1.99,GB,1619991027
Antofagasta,-23.65,-70.4,62.6,77,0,12.66,CL,1619991385
Altay,47.8667,88.1167,34.48,35,0,9.69,CN,1619991506
Karasjok,69.4719,25.5112,28.4,86,90,11.5,NO,1619991487
Demba,-5.51,22.2667,68.67,98,85,0.36,CD,1619991487
Beringovskiy,63.05,179.3167,20.34,83,98,15.7,RU,1619991671
Sprockhövel,51.35,7.25,41.0,89,25,1.01,DE,1619991488
Aasiaat,68.7098,-52.8699,37.38,67,0,9.48,GL,1619991488
Tignère,7.3667,12.65,73.83,50,95,3.33,CM,1619991489
Baykit,61.67,96.37,30.88,96,98,2.95,RU,1619991305
Bundaberg,-24.85,152.35,70.0,88,58,8.05,AU,1619991490
Torit,4.4133,32.5678,70.68,89,100,0.81,SS,1619991490
Coruripe,-10.1256,-36.1756,76.15,82,87,10.87,BR,1619991673
Thai Binh,20.45,106.3333,80.6,83,75,11.5,VN,1619991491
Srednekolymsk,67.45,153.6833,27.79,76,5,3.24,RU,1619991491
Dehui,44.5333,125.7,48.2,57,0,8.95,CN,1619991492
Ostrovnoy,68.0531,39.5131,21.29,85,60,13.02,RU,1619991492
Kensington,-33.9167,151.2167,57.2,94,11,9.22,AU,1619991345
Yei,4.095,30.6779,66.09,99,97,1.77,SS,1619991493
Port Lincoln,-34.7333,135.8667,60.67,70,100,10.13,AU,1619991493
Musoma,-1.5,33.8,69.8,94,75,4.9,TZ,1619991494
Āsmār,35.0333,71.3581,69.24,60,97,7.27,AF,1619991494
Cabo San Lucas,22.8909,-109.9124,86.0,26,1,18.41,MX,1619991495
Zhezkazgan,47.8043,67.7144,51.12,25,81,6.08,KZ,1619991433
Chengde,40.9725,117.9361,46.02,40,31,0.2,CN,1619991495
Rome,43.2128,-75.4557,51.8,82,90,6.91,US,1619991496
Lata,40.1629,-8.3327,55.99,72,45,8.01,PT,1619991677
Banjar,-8.19,114.9675,77.0,94,20,5.75,ID,1619991496
Hobyo,5.3505,48.5268,84.06,73,89,11.9,SO,1619991206
Ibipeba,-11.6408,-42.0111,72.68,62,100,8.75,BR,1619991497
Kondinskoye,59.6481,67.41,35.67,68,87,6.78,RU,1619991497
Kongolo,-5.3833,27.0,70.66,93,98,2.93,CD,1619991498
Cidreira,-30.1811,-50.2056,68.88,80,53,8.86,BR,1619991498
Baharly,38.4362,57.4316,72.88,49,100,10.27,TM,1619991499
Brylivka,46.4248,33.1472,57.0,100,95,7.4,UA,1619991499
Bathsheba,13.2167,-59.5167,80.6,65,20,16.11,BB,1619991679
Gigmoto,13.7796,124.39,80.65,85,41,10.78,PH,1619991500
Bull Savanna,17.8868,-77.5902,80.82,65,15,15.66,JM,1619991500
Biu,10.6129,12.1946,86.02,24,100,6.02,NG,1619991501
Half Moon Bay,37.4636,-122.4286,71.6,72,1,25.32,US,1619991271
Luwuk,-0.9516,122.7875,76.6,82,46,4.03,ID,1619991681
Daur,26.4583,68.3192,78.8,78,40,4.61,PK,1619991502
Moses Lake,47.1301,-119.2781,69.8,16,1,4.61,US,1619991267
La Tuque,47.4334,-72.7824,48.2,18,0,16.11,CA,1619991150
Kargasok,59.0556,80.8572,49.24,69,100,11.05,RU,1619991503
Cayenne,4.9333,-52.3333,80.6,78,75,6.91,GF,1619991682
Manggar,-2.8833,108.2667,81.95,74,100,6.38,ID,1619991504
Vao,-22.6667,167.4833,74.43,73,35,21.43,NC,1619991504
Xaçmaz,41.4635,48.806,55.38,88,8,2.98,AZ,1619991264
Ionia,42.9873,-85.0711,82.4,39,75,18.41,US,1619991505
Coffs Harbour,-30.3,153.1333,57.99,100,44,2.3,AU,1619991683
Bermeo,43.4209,-2.7215,48.99,87,0,5.66,ES,1619991506
Iralaya,15.0,-83.2333,87.8,74,20,9.22,HN,1619991506
Sosnovo-Ozerskoye,52.5249,111.5418,35.58,70,100,10.56,RU,1619991506
Ranong,9.9658,98.6348,79.92,86,100,3.65,TH,1619991507
Inhambane,-23.865,35.3833,70.47,60,61,13.18,MZ,1619991684
Tateyama,34.9833,139.8667,57.2,41,75,9.22,JP,1619991508
Machico,32.7,-16.7667,60.8,72,75,3.44,PT,1619991286
Laas,46.6166,10.7002,59.0,60,40,3.44,IT,1619991129
Esim,4.8699,-2.2405,81.07,85,92,7.92,GH,1619991247
Gizo Government Station,-8.103,156.8419,82.78,72,97,3.51,SB,1619991509
Ulaangom,49.9811,92.0667,34.36,40,3,3.04,MN,1619991510
Blagoyevo,63.3667,47.9167,27.43,58,1,5.93,RU,1619991510
Evensk,61.95,159.2333,25.86,77,4,4.81,RU,1619991511
Oddur,4.1213,43.8894,75.63,76,85,6.6,SO,1619991686
Wagar,16.1525,36.2032,86.52,40,99,10.71,SD,1619991511
Saint-François,46.4154,3.9054,42.8,75,0,0.43,FR,1619991512
Santa Marta,11.2408,-74.199,89.01,68,100,1.99,CO,1619991444
Nantucket,41.2835,-70.0995,57.2,67,1,19.57,US,1619991662
Clyde River,70.4692,-68.5914,28.4,86,1,4.61,CA,1619991513
Lompoc,34.6391,-120.4579,62.01,77,75,17.27,US,1619991217
Maceió,-9.6658,-35.7353,73.4,94,75,8.05,BR,1619991513
Kholmogory,64.2229,41.656,24.8,93,20,2.68,RU,1619991514
Yumen,40.2833,97.2,46.6,13,76,18.77,CN,1619991514
Lucé,48.4369,1.4636,45.0,77,58,1.99,FR,1619991514
Ngunguru,-35.6167,174.5,59.0,86,11,1.99,NZ,1619991689
Fare,-16.7,-151.0167,80.85,72,13,10.58,PF,1619991515
Santarém,-2.4431,-54.7083,84.2,74,40,5.75,BR,1619991249
Alingsås,57.9303,12.5335,42.01,87,90,4.61,SE,1619991516
Prainha,-1.8,-53.48,76.48,83,56,4.29,BR,1619991173
Banda Aceh,5.5577,95.3222,80.53,77,97,4.65,ID,1619991690
Kushima,31.4583,131.2333,48.2,93,40,2.3,JP,1619991516
Goya,-29.14,-59.2626,70.09,72,58,5.68,AR,1619991517
Caucayá,-0.1934,-74.7819,77.5,78,72,0.58,CO,1619991518
Ahipara,-35.1667,173.1667,60.26,61,0,2.35,NZ,1619991691
Sokolo,14.7328,-6.1219,96.8,24,97,12.8,ML,1619991488
Zyryanovsk,49.7386,84.2719,34.18,68,0,2.73,KZ,1619991519
Novovarshavka,54.1721,74.6946,52.34,41,94,13.18,RU,1619991519
Barra dos Coqueiros,-10.9089,-37.0386,80.6,61,20,8.05,BR,1619991519
Matara,5.9485,80.5353,77.22,88,97,2.93,LK,1619991520
Ginir,7.1333,40.7,58.3,88,100,4.25,ET,1619991514
Brae,60.3964,-1.353,39.2,81,100,3.44,GB,1619991680
Dubrovnik,42.6481,18.0922,59.0,72,0,8.05,HR,1619991521
Søvik,65.9333,12.4667,33.8,75,20,4.61,NO,1619991521
Alabaster,33.2443,-86.8164,78.8,47,1,12.66,US,1619991522
Sugod,12.987,124.0805,79.65,86,84,12.55,PH,1619991522
Busca,44.5181,7.4743,51.8,58,75,3.44,IT,1619991523
Alyangula,-13.8483,136.4192,75.2,94,16,4.61,AU,1619991523
Nicholasville,37.8806,-84.573,73.4,43,90,9.22,US,1619991453
Mount Gambier,-37.8333,140.7667,55.4,94,90,6.91,AU,1619991220
Nara,34.6851,135.8049,52.0,87,20,3.44,JP,1619991524
Huilong,31.8111,121.655,60.01,76,83,1.99,CN,1619991524
Tromsø,69.6496,18.957,28.4,69,0,6.91,NO,1619991525
Non Sung,15.1801,102.2569,82.0,100,27,2.73,TH,1619991525
Bilibino,68.0546,166.4372,16.52,61,23,1.59,RU,1619991696
Merke,42.8728,73.1786,56.86,69,20,4.41,KZ,1619991526
Mogadishu,2.0371,45.3438,82.71,76,50,10.4,SO,1619991527
Wahiawā,21.5028,-158.0236,82.0,65,75,4.61,US,1619991527
Talas,38.6908,35.5538,55.4,82,75,6.91,TR,1619991527
Oxford,51.7522,-1.256,48.2,65,75,4.61,GB,1619991332
Chute-aux-Outardes,49.1168,-68.399,39.2,45,75,23.02,CA,1619991528
Nikki,9.9401,3.2108,86.67,31,100,3.96,BJ,1619991529
Kafanchan,9.5833,8.3,77.65,64,100,3.94,NG,1619991529
Araouane,18.9048,-3.5265,95.59,23,12,13.94,ML,1619991530
Gatesville,31.4352,-97.7439,86.0,42,1,13.8,US,1619991530
Urengoy,65.9667,78.3667,32.32,99,100,6.24,RU,1619991530
Coquimbo,-29.9533,-71.3436,62.6,63,0,11.5,CL,1619991403
The Pas,53.8251,-101.2541,33.8,80,90,4.61,CA,1619991531
Rawson,-43.3002,-65.1023,59.94,39,89,12.01,AR,1619991532
Berlevåg,70.8578,29.0864,28.4,86,40,6.91,NO,1619991513
Basco,20.4487,121.9702,79.27,81,63,19.73,PH,1619991532
Taoudenni,22.6783,-3.9836,82.31,49,47,15.26,ML,1619991236
Los Llanos de Aridane,28.6585,-17.9182,64.4,63,20,5.75,ES,1619991384
Kilingi-Nõmme,58.1503,24.9642,36.66,62,100,9.93,EE,1619991533
Geraldton,-28.7667,114.6,50.0,81,0,3.44,AU,1619991191
Norman Wells,65.282,-126.8329,39.2,75,75,6.91,CA,1619991498
Cortez,37.3489,-108.5859,75.2,10,1,8.05,US,1619991534
Wajir,1.7471,40.0573,82.26,59,40,11.01,KE,1619991534
Sambava,-14.2667,50.1667,75.54,90,27,5.35,MG,1619991535
Poya,-21.35,165.15,76.73,72,8,4.97,NC,1619991535
Anadyr,64.75,177.4833,15.8,86,75,2.24,RU,1619991702
Flagstaff,35.1981,-111.6513,70.0,13,1,19.57,US,1619991339
Bida,9.0833,6.0167,88.12,45,100,9.44,NG,1619991536
Ojinaga,29.5667,-104.4167,93.2,11,1,14.97,MX,1619991536
Vacha,55.8008,42.7706,44.19,88,100,4.76,RU,1619991537
Kidal,18.4411,1.4078,92.28,8,0,8.9,ML,1619991537
Caravelas,-17.7125,-39.2481,73.15,76,37,6.69,BR,1619991249
Jalu,29.0331,21.5482,89.8,11,89,9.62,LY,1619991538
Vostok,46.4856,135.8833,32.92,76,100,8.7,RU,1619991538
Sapulpa,35.9987,-96.1142,78.8,57,40,12.66,US,1619991404
San Policarpo,12.1791,125.5072,80.28,85,65,13.49,PH,1619991539
Marrakesh,31.6315,-8.0083,64.4,55,40,13.8,MA,1619991540
Spencer,43.1414,-95.1444,80.6,44,75,6.91,US,1619991540
Pundaguitan,6.3711,126.1689,81.16,78,87,13.4,PH,1619991705
Belmonte,-15.8631,-38.8828,77.0,69,40,5.75,BR,1619991216
Masvingo,-20.0637,30.8277,50.94,90,19,5.48,ZW,1619991541
Madang,-5.2246,145.7966,77.85,89,100,3.91,PG,1619991241
Contamana,-7.3333,-75.0167,86.68,56,39,1.86,PE,1619991543
Pacific Grove,36.6177,-121.9166,62.6,59,20,12.66,US,1619991544
Kuril'sk,45.2333,147.8833,32.49,93,99,15.03,RU,1619991544
Mogocha,53.7333,119.7667,38.8,97,100,3.98,RU,1619991545
Kiama,-34.6833,150.8667,55.99,90,6,1.99,AU,1619991545
Bilma,18.6853,12.9164,87.94,6,0,8.93,NE,1619991263
Izberbash,42.5696,47.8645,59.0,88,26,8.95,RU,1619991546
Kumul,42.8,93.45,48.22,15,0,15.88,CN,1619991546
Çermik,38.1361,39.4493,57.2,44,0,9.22,TR,1619991547
Lüderitz,-26.6481,15.1594,68.11,55,31,1.03,NA,1619991547
Oistins,13.0667,-59.5333,80.6,65,20,16.11,BB,1619991313
Uruguaiana,-29.7547,-57.0883,78.8,65,36,4.61,BR,1619991548
San Antonio,29.4241,-98.4936,93.2,37,1,10.36,US,1619991381
Acapulco de Juárez,16.8634,-99.8901,84.2,65,20,14.97,MX,1619991319
Fairbanks,64.8378,-147.7164,53.01,28,75,4.61,US,1619991507
Kavieng,-2.5744,150.7967,82.78,74,85,3.31,PG,1619991469
Mosetse,-20.75,26.65,59.36,58,55,16.55,BW,1619991549
Kabompo,-13.5927,24.2008,63.55,97,100,8.97,ZM,1619991549
Charter Township of Clinton,42.587,-82.9199,82.99,34,20,18.41,US,1619991323
Sajanan,37.0573,9.2426,64.4,63,40,12.66,TN,1619991550
Anchorage,61.2181,-149.9003,48.99,43,1,8.05,US,1619991510
Mahibadhoo,3.7833,72.9667,83.57,69,99,5.12,MV,1619991510
Gamba,-2.65,10.0,78.39,90,100,4.81,GA,1619991712
Sartell,45.6216,-94.2069,69.8,55,90,6.91,US,1619991485
Port Hardy,50.6996,-127.4199,50.0,76,75,6.91,CA,1619991551
College,64.8569,-147.8028,52.0,28,75,4.61,US,1619991489
Birjand,32.8663,59.2211,59.0,82,75,4.61,IR,1619991552
Pangkalanbuun,-2.6833,111.6167,74.98,95,65,2.44,ID,1619991552
Njombe,-9.3333,34.7667,57.67,95,93,7.16,TZ,1619991553
Luanda,-8.8368,13.2343,80.6,89,75,13.8,AO,1619991510
Harper,4.375,-7.7169,81.01,80,100,9.33,LR,1619991189
Leer,8.3018,30.1418,78.39,68,90,4.56,SS,1619991554
Sur,22.5667,59.5289,82.9,63,99,13.38,OM,1619991714
Severobaykal'sk,55.65,109.3167,31.87,79,100,6.64,RU,1619991554
Naze,28.3667,129.4833,60.66,61,1,6.96,JP,1619991163
Aden,12.7794,45.0367,82.38,65,100,10.51,YE,1619991555
Watertown,42.3709,-71.1828,75.2,37,20,16.11,US,1619991506
Weatherford,32.7593,-97.7972,82.99,60,44,3.0,US,1619991484
Chicama,-7.8447,-79.1469,66.2,88,40,6.91,PE,1619991556
Miraflores,19.2167,-98.8083,78.8,24,75,11.5,MX,1619991556
Baghdad,33.3406,44.4009,73.4,35,0,2.3,IQ,1619991218
Dunedin,-45.8742,170.5036,55.13,59,94,4.7,NZ,1619991557
Chabahar,25.2919,60.643,80.74,73,100,7.58,IR,1619991558
Erzin,36.9559,36.2,69.01,83,42,4.0,TR,1619991558
Chanal,16.7167,-92.4,87.8,42,75,11.5,MX,1619991559
Port Hawkesbury,45.6169,-61.3485,53.6,54,75,9.22,CA,1619991278
Sijunjung,-0.6876,100.9537,71.33,98,100,0.92,ID,1619991559
Ayan,56.45,138.1667,33.19,71,18,8.52,RU,1619991717
Grand-Lahou,5.1367,-5.0242,81.73,83,100,9.08,CI,1619991561
Ngama,11.7833,17.1667,87.73,34,37,6.51,TD,1619991562
Fukuechō,32.6881,128.8419,57.0,59,79,3.89,JP,1619991562
Flin Flon,54.7682,-101.865,33.8,60,90,5.75,CA,1619991718
Giohar,2.7809,45.5005,80.33,77,90,7.83,SO,1619991490
Piaçabuçu,-10.4056,-36.4344,77.5,73,81,10.22,BR,1619991563
Krumovgrad,41.4667,25.65,64.99,77,82,5.7,BG,1619991564
Kastamonu Province,41.5,33.6667,59.63,54,70,4.38,TR,1619991564
Youkounkoun,12.5333,-13.1333,91.58,20,74,4.88,GN,1619991565
Matadi,-5.8167,13.45,76.68,85,21,1.79,CD,1619991720
Quatre Cocos,-20.2078,57.7625,75.2,94,20,4.61,MU,1619991566
Witu,-2.3889,40.4382,79.29,83,85,10.02,KE,1619991566
